날짜,발전량(kW),용량합계(kW)
2024-05-19 00:15:00,0.0,18792.09
2024-05-19 00:30:00,0.0,18792.09
2024-05-19 00:45:00,0.0,18792.09
2024-05-19 01:00:00,0.0,18792.09
2024-05-19 01:15:00,0.0,18792.09
2024-05-19 01:30:00,0.0,18792.09
2024-05-19 01:45:00,0.0,18792.09
2024-05-19 02:00:00,0.0,18792.09
2024-05-19 02:15:00,0.0,18792.09
2024-05-19 02:30:00,0.0,18792.09
2024-05-19 02:45:00,0.0,18792.09
2024-05-19 03:00:00,0.0,18792.09
2024-05-19 03:15:00,0.0,18792.09
2024-05-19 03:30:00,0.0,18792.09
2024-05-19 03:45:00,0.0,18792.09
2024-05-19 04:00:00,0.0,18792.09
2024-05-19 04:15:00,0.0,18792.09
2024-05-19 04:30:00,0.0,18792.09
2024-05-19 04:45:00,0.0,18792.09
2024-05-19 05:00:00,0.0,18792.09
2024-05-19 05:15:00,0.236,18792.09
2024-05-19 05:30:00,10.474,18792.09
2024-05-19 05:45:00,61.227,18792.09
2024-05-19 06:00:00,116.138,18792.09
2024-05-19 06:15:00,188.617,18792.09
2024-05-19 06:30:00,306.49,18792.09
2024-05-19 06:45:00,422.796,18792.09
2024-05-19 07:00:00,632.67,18792.09
2024-05-19 07:15:00,778.6,18792.09
2024-05-19 07:30:00,1056.896,18792.09
2024-05-19 07:45:00,1218.299,18792.09
2024-05-19 08:00:00,1530.452,18792.09
2024-05-19 08:15:00,1691.53,18792.09
2024-05-19 08:30:00,1999.297,18792.09
2024-05-19 08:45:00,2115.95,18792.09
2024-05-19 09:00:00,2424.916,18792.09
2024-05-19 09:15:00,2493.248,18792.09
2024-05-19 09:30:00,2803.613,18792.09
2024-05-19 09:45:00,2801.676,18792.09
2024-05-19 10:00:00,3089.643,18792.09
2024-05-19 10:15:00,3085.65,18792.09
2024-05-19 10:30:00,3308.4,18792.09
2024-05-19 10:45:00,3280.65,18792.09
2024-05-19 11:00:00,3522.852,18792.09
2024-05-19 11:15:00,3414.441,18792.09
2024-05-19 11:30:00,3604.489,18792.09
2024-05-19 11:45:00,3524.251,18792.09
2024-05-19 12:00:00,3709.033,18792.09
2024-05-19 12:15:00,3566.589,18792.09
2024-05-19 12:30:00,3694.087,18792.09
2024-05-19 12:45:00,3567.916,18792.09
2024-05-19 13:00:00,3701.711,18792.09
2024-05-19 13:15:00,3493.627,18792.09
2024-05-19 13:30:00,3607.677,18792.09
2024-05-19 13:45:00,3379.518,18792.09
2024-05-19 14:00:00,3470.223,18792.09
2024-05-19 14:15:00,3213.802,18792.09
2024-05-19 14:30:00,3237.263,18792.09
2024-05-19 14:45:00,3030.433,18792.09
2024-05-19 15:00:00,3036.785,18792.09
2024-05-19 15:15:00,2746.666,18792.09
2024-05-19 15:30:00,2735.451,18792.09
2024-05-19 15:45:00,2427.324,18792.09
2024-05-19 16:00:00,2360.622,18792.09
2024-05-19 16:15:00,2054.647,18792.09
2024-05-19 16:30:00,1937.618,18792.09
2024-05-19 16:45:00,1659.25,18792.09
2024-05-19 17:00:00,1517.492,18792.09
2024-05-19 17:15:00,1229.721,18792.09
2024-05-19 17:30:00,1069.33,18792.09
2024-05-19 17:45:00,799.078,18792.09
2024-05-19 18:00:00,650.256,18792.09
2024-05-19 18:15:00,447.613,18792.09
2024-05-19 18:30:00,336.389,18792.09
2024-05-19 18:45:00,201.135,18792.09
2024-05-19 19:00:00,139.215,18792.09
2024-05-19 19:15:00,75.641,18792.09
2024-05-19 19:30:00,29.006,18792.09
2024-05-19 19:45:00,10.784,18792.09
2024-05-19 20:00:00,4.611,18792.09
2024-05-19 20:15:00,0.3,18792.09
2024-05-19 20:30:00,0.0,18792.09
2024-05-19 20:45:00,0.0,18792.09
2024-05-19 21:00:00,0.0,18792.09
2024-05-19 21:15:00,0.0,18792.09
2024-05-19 21:30:00,0.0,18792.09
2024-05-19 21:45:00,0.0,18792.09
2024-05-19 22:00:00,0.0,18792.09
2024-05-19 22:15:00,0.0,18792.09
2024-05-19 22:30:00,0.0,18792.09
2024-05-19 22:45:00,0.0,18792.09
2024-05-19 23:00:00,0.0,18792.09
2024-05-19 23:15:00,0.0,18792.09
2024-05-19 23:30:00,0.0,18792.09
2024-05-19 23:45:00,0.0,18792.09
2024-05-20 00:00:00,0.0,18792.09
