날짜,발전량(kW),용량합계(kW)
2024-06-13 00:15:00,0.0,446.88
2024-06-13 00:30:00,0.0,446.88
2024-06-13 00:45:00,0.0,446.88
2024-06-13 01:00:00,0.0,446.88
2024-06-13 01:15:00,0.0,446.88
2024-06-13 01:30:00,0.0,446.88
2024-06-13 01:45:00,0.0,446.88
2024-06-13 02:00:00,0.0,446.88
2024-06-13 02:15:00,0.0,446.88
2024-06-13 02:30:00,0.0,446.88
2024-06-13 02:45:00,0.0,446.88
2024-06-13 03:00:00,0.0,446.88
2024-06-13 03:15:00,0.0,446.88
2024-06-13 03:30:00,0.0,446.88
2024-06-13 03:45:00,0.0,446.88
2024-06-13 04:00:00,0.0,446.88
2024-06-13 04:15:00,0.0,446.88
2024-06-13 04:30:00,0.0,446.88
2024-06-13 04:45:00,0.0,446.88
2024-06-13 05:00:00,0.0,446.88
2024-06-13 05:15:00,0.0,446.88
2024-06-13 05:30:00,0.1,446.88
2024-06-13 05:45:00,1.6,446.88
2024-06-13 06:00:00,2.4,446.88
2024-06-13 06:15:00,2.9,446.88
2024-06-13 06:30:00,3.5,446.88
2024-06-13 06:45:00,4.9,446.88
2024-06-13 07:00:00,6.7,446.88
2024-06-13 07:15:00,9.4,446.88
2024-06-13 07:30:00,13.2,446.88
2024-06-13 07:45:00,17.3,446.88
2024-06-13 08:00:00,22.4,446.88
2024-06-13 08:15:00,27.8,446.88
2024-06-13 08:30:00,33.2,446.88
2024-06-13 08:45:00,39.4,446.88
2024-06-13 09:00:00,44.4,446.88
2024-06-13 09:15:00,50.9,446.88
2024-06-13 09:30:00,55.8,446.88
2024-06-13 09:45:00,62.6,446.88
2024-06-13 10:00:00,65.4,446.88
2024-06-13 10:15:00,68.0,446.88
2024-06-13 10:30:00,74.8,446.88
2024-06-13 10:45:00,82.2,446.88
2024-06-13 11:00:00,81.2,446.88
2024-06-13 11:15:00,83.7,446.88
2024-06-13 11:30:00,74.3,446.88
2024-06-13 11:45:00,70.3,446.88
2024-06-13 12:00:00,92.3,446.88
2024-06-13 12:15:00,92.5,446.88
2024-06-13 12:30:00,92.8,446.88
2024-06-13 12:45:00,93.6,446.88
2024-06-13 13:00:00,94.1,446.88
2024-06-13 13:15:00,93.2,446.88
2024-06-13 13:30:00,92.9,446.88
2024-06-13 13:45:00,91.7,446.88
2024-06-13 14:00:00,89.9,446.88
2024-06-13 14:15:00,87.4,446.88
2024-06-13 14:30:00,84.9,446.88
2024-06-13 14:45:00,83.0,446.88
2024-06-13 15:00:00,66.6,446.88
2024-06-13 15:15:00,73.2,446.88
2024-06-13 15:30:00,69.8,446.88
2024-06-13 15:45:00,62.1,446.88
2024-06-13 16:00:00,53.4,446.88
2024-06-13 16:15:00,48.7,446.88
2024-06-13 16:30:00,26.6,446.88
2024-06-13 16:45:00,37.9,446.88
2024-06-13 17:00:00,31.2,446.88
2024-06-13 17:15:00,25.6,446.88
2024-06-13 17:30:00,20.5,446.88
2024-06-13 17:45:00,16.2,446.88
2024-06-13 18:00:00,12.0,446.88
2024-06-13 18:15:00,9.4,446.88
2024-06-13 18:30:00,6.9,446.88
2024-06-13 18:45:00,6.1,446.88
2024-06-13 19:00:00,5.0,446.88
2024-06-13 19:15:00,3.5,446.88
2024-06-13 19:30:00,2.3,446.88
2024-06-13 19:45:00,1.6,446.88
2024-06-13 20:00:00,1.2,446.88
2024-06-13 20:15:00,0.0,446.88
2024-06-13 20:30:00,0.0,446.88
2024-06-13 20:45:00,0.0,446.88
2024-06-13 21:00:00,0.0,446.88
2024-06-13 21:15:00,0.0,446.88
2024-06-13 21:30:00,0.0,446.88
2024-06-13 21:45:00,0.0,446.88
2024-06-13 22:00:00,0.0,446.88
2024-06-13 22:15:00,0.0,446.88
2024-06-13 22:30:00,0.0,446.88
2024-06-13 22:45:00,0.0,446.88
2024-06-13 23:00:00,0.0,446.88
2024-06-13 23:15:00,0.0,446.88
2024-06-13 23:30:00,0.0,446.88
2024-06-13 23:45:00,0.0,446.88
2024-06-14 00:00:00,0.0,446.88
