,시간,12-11 (수)
0,최대,162.43
1,최소,82.1
2,가중평균,136.8
3,01시 1구간,111.93
4,01시 2구간,111.93
5,01시 3구간,111.93
6,01시 4구간,111.93
7,02시 1구간,83.43
8,02시 2구간,83.43
9,02시 3구간,83.43
10,02시 4구간,83.43
11,03시 1구간,82.1
12,03시 2구간,82.1
13,03시 3구간,82.1
14,03시 4구간,82.1
15,04시 1구간,82.1
16,04시 2구간,82.1
17,04시 3구간,82.1
18,04시 4구간,82.1
19,05시 1구간,82.1
20,05시 2구간,82.1
21,05시 3구간,82.1
22,05시 4구간,82.1
23,06시 1구간,91.46
24,06시 2구간,91.46
25,06시 3구간,91.46
26,06시 4구간,91.46
27,07시 1구간,106.25
28,07시 2구간,106.25
29,07시 3구간,106.25
30,07시 4구간,106.25
31,08시 1구간,121.62
32,08시 2구간,121.62
33,08시 3구간,121.62
34,08시 4구간,121.62
35,09시 1구간,162.43
36,09시 2구간,162.24
37,09시 3구간,162.03
38,09시 4구간,160.99
39,10시 1구간,161.0
40,10시 2구간,161.07
41,10시 3구간,161.05
42,10시 4구간,161.07
43,11시 1구간,161.16
44,11시 2구간,161.06
45,11시 3구간,161.08
46,11시 4구간,160.98
47,12시 1구간,160.95
48,12시 2구간,160.78
49,12시 3구간,160.11
50,12시 4구간,159.37
51,13시 1구간,137.97
52,13시 2구간,137.97
53,13시 3구간,158.33
54,13시 4구간,153.57
55,14시 1구간,153.57
56,14시 2구간,153.57
57,14시 3구간,153.57
58,14시 4구간,153.57
59,15시 1구간,153.57
60,15시 2구간,153.57
61,15시 3구간,153.57
62,15시 4구간,153.57
63,16시 1구간,158.57
64,16시 2구간,158.57
65,16시 3구간,158.57
66,16시 4구간,158.57
67,17시 1구간,129.43
68,17시 2구간,156.6
69,17시 3구간,156.86
70,17시 4구간,156.95
71,18시 1구간,154.69
72,18시 2구간,154.68
73,18시 3구간,154.67
74,18시 4구간,154.67
75,19시 1구간,154.74
76,19시 2구간,154.73
77,19시 3구간,154.73
78,19시 4구간,154.73
79,20시 1구간,154.78
80,20시 2구간,154.86
81,20시 3구간,154.97
82,20시 4구간,155.07
83,21시 1구간,155.17
84,21시 2구간,155.28
85,21시 3구간,154.89
86,21시 4구간,136.09
87,22시 1구간,145.04
88,22시 2구간,145.03
89,22시 3구간,145.03
90,22시 4구간,145.02
91,23시 1구간,144.95
92,23시 2구간,145.08
93,23시 3구간,145.08
94,23시 4구간,145.08
95,24시 1구간,144.95
96,24시 2구간,144.95
97,24시 3구간,144.95
98,24시 4구간,144.95
