,시간,12-21 (토)
0,최대,143.27
1,최소,81.69
2,가중평균,101.67
3,01시 1구간,92.76
4,01시 2구간,92.76
5,01시 3구간,92.76
6,01시 4구간,92.76
7,02시 1구간,91.88
8,02시 2구간,91.88
9,02시 3구간,91.88
10,02시 4구간,91.88
11,03시 1구간,91.69
12,03시 2구간,91.69
13,03시 3구간,91.69
14,03시 4구간,91.69
15,04시 1구간,81.69
16,04시 2구간,81.69
17,04시 3구간,81.69
18,04시 4구간,81.69
19,05시 1구간,81.69
20,05시 2구간,81.69
21,05시 3구간,81.69
22,05시 4구간,81.69
23,06시 1구간,83.01
24,06시 2구간,83.01
25,06시 3구간,83.01
26,06시 4구간,83.01
27,07시 1구간,92.32
28,07시 2구간,92.32
29,07시 3구간,92.32
30,07시 4구간,92.32
31,08시 1구간,101.7
32,08시 2구간,101.7
33,08시 3구간,101.7
34,08시 4구간,101.7
35,09시 1구간,102.5
36,09시 2구간,102.5
37,09시 3구간,102.5
38,09시 4구간,102.5
39,10시 1구간,107.95
40,10시 2구간,107.95
41,10시 3구간,107.95
42,10시 4구간,107.95
43,11시 1구간,143.04
44,11시 2구간,143.04
45,11시 3구간,143.04
46,11시 4구간,143.04
47,12시 1구간,143.27
48,12시 2구간,143.27
49,12시 3구간,143.27
50,12시 4구간,143.27
51,13시 1구간,102.27
52,13시 2구간,102.27
53,13시 3구간,102.27
54,13시 4구간,102.27
55,14시 1구간,102.4
56,14시 2구간,102.4
57,14시 3구간,102.4
58,14시 4구간,102.4
59,15시 1구간,102.48
60,15시 2구간,102.48
61,15시 3구간,102.48
62,15시 4구간,102.48
63,16시 1구간,102.32
64,16시 2구간,102.32
65,16시 3구간,102.32
66,16시 4구간,102.32
67,17시 1구간,102.36
68,17시 2구간,102.36
69,17시 3구간,102.36
70,17시 4구간,102.36
71,18시 1구간,102.5
72,18시 2구간,102.5
73,18시 3구간,102.5
74,18시 4구간,102.5
75,19시 1구간,102.51
76,19시 2구간,102.51
77,19시 3구간,102.51
78,19시 4구간,102.51
79,20시 1구간,108.57
80,20시 2구간,108.57
81,20시 3구간,108.57
82,20시 4구간,108.57
83,21시 1구간,108.51
84,21시 2구간,108.51
85,21시 3구간,108.51
86,21시 4구간,108.51
87,22시 1구간,93.22
88,22시 2구간,93.22
89,22시 3구간,93.22
90,22시 4구간,93.22
91,23시 1구간,93.06
92,23시 2구간,93.06
93,23시 3구간,93.06
94,23시 4구간,93.06
95,24시 1구간,93.22
96,24시 2구간,93.22
97,24시 3구간,93.22
98,24시 4구간,93.22
