,시간,12-30 (월)
0,최대,169.47
1,최소,79.03
2,가중평균,116.73
3,01시 1구간,81.11
4,01시 2구간,81.11
5,01시 3구간,81.11
6,01시 4구간,81.11
7,02시 1구간,79.03
8,02시 2구간,79.03
9,02시 3구간,79.03
10,02시 4구간,79.03
11,03시 1구간,79.03
12,03시 2구간,79.03
13,03시 3구간,79.03
14,03시 4구간,79.03
15,04시 1구간,79.03
16,04시 2구간,79.03
17,04시 3구간,79.03
18,04시 4구간,79.03
19,05시 1구간,79.03
20,05시 2구간,79.03
21,05시 3구간,79.03
22,05시 4구간,79.03
23,06시 1구간,79.03
24,06시 2구간,79.03
25,06시 3구간,79.03
26,06시 4구간,79.03
27,07시 1구간,81.11
28,07시 2구간,81.11
29,07시 3구간,81.11
30,07시 4구간,81.11
31,08시 1구간,92.64
32,08시 2구간,92.64
33,08시 3구간,92.64
34,08시 4구간,92.64
35,09시 1구간,142.95
36,09시 2구간,142.95
37,09시 3구간,142.95
38,09시 4구간,142.95
39,10시 1구간,169.43
40,10시 2구간,169.47
41,10시 3구간,169.22
42,10시 4구간,169.12
43,11시 1구간,168.81
44,11시 2구간,169.17
45,11시 3구간,166.78
46,11시 4구간,160.05
47,12시 1구간,154.79
48,12시 2구간,154.79
49,12시 3구간,154.79
50,12시 4구간,154.79
51,13시 1구간,137.81
52,13시 2구간,137.81
53,13시 3구간,137.81
54,13시 4구간,137.81
55,14시 1구간,137.72
56,14시 2구간,137.72
57,14시 3구간,137.72
58,14시 4구간,137.72
59,15시 1구간,137.63
60,15시 2구간,137.63
61,15시 3구간,137.63
62,15시 4구간,137.63
63,16시 1구간,157.72
64,16시 2구간,157.72
65,16시 3구간,157.72
66,16시 4구간,157.72
67,17시 1구간,137.16
68,17시 2구간,137.16
69,17시 3구간,137.16
70,17시 4구간,137.16
71,18시 1구간,141.2
72,18시 2구간,141.2
73,18시 3구간,141.2
74,18시 4구간,141.2
75,19시 1구간,132.59
76,19시 2구간,132.59
77,19시 3구간,132.59
78,19시 4구간,132.59
79,20시 1구간,122.57
80,20시 2구간,122.57
81,20시 3구간,122.57
82,20시 4구간,122.57
83,21시 1구간,115.43
84,21시 2구간,115.43
85,21시 3구간,115.43
86,21시 4구간,115.43
87,22시 1구간,92.96
88,22시 2구간,92.96
89,22시 3구간,92.96
90,22시 4구간,92.96
91,23시 1구간,92.64
92,23시 2구간,92.64
93,23시 3구간,92.64
94,23시 4구간,92.64
95,24시 1구간,92.64
96,24시 2구간,92.64
97,24시 3구간,92.64
98,24시 4구간,92.64
