,시간,01-12 (일)
0,최대,118.12
1,최소,97.63
2,가중평균,112.16
3,01시 1구간,111.15
4,01시 2구간,111.15
5,01시 3구간,111.15
6,01시 4구간,111.15
7,02시 1구간,111.8
8,02시 2구간,111.8
9,02시 3구간,111.8
10,02시 4구간,111.8
11,03시 1구간,111.82
12,03시 2구간,111.82
13,03시 3구간,111.82
14,03시 4구간,111.82
15,04시 1구간,97.63
16,04시 2구간,97.63
17,04시 3구간,97.63
18,04시 4구간,97.63
19,05시 1구간,98.55
20,05시 2구간,98.55
21,05시 3구간,98.55
22,05시 4구간,98.55
23,06시 1구간,102.64
24,06시 2구간,102.64
25,06시 3구간,102.64
26,06시 4구간,102.64
27,07시 1구간,103.0
28,07시 2구간,103.0
29,07시 3구간,103.0
30,07시 4구간,103.0
31,08시 1구간,103.19
32,08시 2구간,103.19
33,08시 3구간,103.19
34,08시 4구간,103.19
35,09시 1구간,111.74
36,09시 2구간,111.74
37,09시 3구간,111.74
38,09시 4구간,111.74
39,10시 1구간,117.03
40,10시 2구간,117.03
41,10시 3구간,117.03
42,10시 4구간,117.03
43,11시 1구간,118.12
44,11시 2구간,118.12
45,11시 3구간,118.12
46,11시 4구간,118.12
47,12시 1구간,118.07
48,12시 2구간,118.07
49,12시 3구간,118.07
50,12시 4구간,118.07
51,13시 1구간,117.91
52,13시 2구간,117.91
53,13시 3구간,117.91
54,13시 4구간,117.91
55,14시 1구간,117.29
56,14시 2구간,117.29
57,14시 3구간,117.29
58,14시 4구간,117.29
59,15시 1구간,117.36
60,15시 2구간,117.36
61,15시 3구간,117.36
62,15시 4구간,117.36
63,16시 1구간,116.96
64,16시 2구간,116.96
65,16시 3구간,116.96
66,16시 4구간,116.96
67,17시 1구간,116.74
68,17시 2구간,116.74
69,17시 3구간,116.74
70,17시 4구간,116.74
71,18시 1구간,118.07
72,18시 2구간,118.07
73,18시 3구간,118.07
74,18시 4구간,118.07
75,19시 1구간,118.12
76,19시 2구간,118.12
77,19시 3구간,118.12
78,19시 4구간,118.12
79,20시 1구간,118.12
80,20시 2구간,118.12
81,20시 3구간,118.12
82,20시 4구간,118.12
83,21시 1구간,116.06
84,21시 2구간,116.06
85,21시 3구간,116.06
86,21시 4구간,116.06
87,22시 1구간,108.64
88,22시 2구간,108.64
89,22시 3구간,108.64
90,22시 4구간,108.64
91,23시 1구간,111.74
92,23시 2구간,111.74
93,23시 3구간,111.74
94,23시 4구간,111.74
95,24시 1구간,107.81
96,24시 2구간,107.81
97,24시 3구간,107.81
98,24시 4구간,107.81
