,시간,01-16 (목)
0,최대,193.91
1,최소,101.97
2,가중평균,132.61
3,01시 1구간,108.07
4,01시 2구간,108.07
5,01시 3구간,108.07
6,01시 4구간,108.07
7,02시 1구간,106.76
8,02시 2구간,106.76
9,02시 3구간,106.76
10,02시 4구간,106.76
11,03시 1구간,106.34
12,03시 2구간,106.34
13,03시 3구간,106.34
14,03시 4구간,106.34
15,04시 1구간,101.97
16,04시 2구간,101.97
17,04시 3구간,101.97
18,04시 4구간,101.97
19,05시 1구간,106.76
20,05시 2구간,106.76
21,05시 3구간,106.76
22,05시 4구간,106.76
23,06시 1구간,102.05
24,06시 2구간,102.05
25,06시 3구간,102.05
26,06시 4구간,102.05
27,07시 1구간,105.25
28,07시 2구간,105.25
29,07시 3구간,105.25
30,07시 4구간,105.25
31,08시 1구간,136.78
32,08시 2구간,136.78
33,08시 3구간,136.78
34,08시 4구간,136.78
35,09시 1구간,144.48
36,09시 2구간,154.13
37,09시 3구간,154.2
38,09시 4구간,152.66
39,10시 1구간,157.34
40,10시 2구간,157.34
41,10시 3구간,153.56
42,10시 4구간,151.64
43,11시 1구간,153.09
44,11시 2구간,193.91
45,11시 3구간,153.08
46,11시 4구간,152.63
47,12시 1구간,153.56
48,12시 2구간,153.42
49,12시 3구간,153.41
50,12시 4구간,153.37
51,13시 1구간,150.22
52,13시 2구간,150.22
53,13시 3구간,150.24
54,13시 4구간,150.28
55,14시 1구간,139.28
56,14시 2구간,139.28
57,14시 3구간,139.28
58,14시 4구간,139.28
59,15시 1구간,139.28
60,15시 2구간,139.28
61,15시 3구간,139.28
62,15시 4구간,139.28
63,16시 1구간,139.28
64,16시 2구간,139.28
65,16시 3구간,139.28
66,16시 4구간,139.28
67,17시 1구간,139.29
68,17시 2구간,139.29
69,17시 3구간,139.29
70,17시 4구간,139.29
71,18시 1구간,138.58
72,18시 2구간,138.58
73,18시 3구간,138.58
74,18시 4구간,151.33
75,19시 1구간,138.38
76,19시 2구간,138.38
77,19시 3구간,151.24
78,19시 4구간,152.21
79,20시 1구간,152.31
80,20시 2구간,152.28
81,20시 3구간,152.24
82,20시 4구간,152.23
83,21시 1구간,152.19
84,21시 2구간,152.25
85,21시 3구간,152.26
86,21시 4구간,138.57
87,22시 1구간,136.78
88,22시 2구간,136.78
89,22시 3구간,136.78
90,22시 4구간,136.78
91,23시 1구간,114.49
92,23시 2구간,114.49
93,23시 3구간,114.49
94,23시 4구간,114.49
95,24시 1구간,114.7
96,24시 2구간,114.7
97,24시 3구간,114.7
98,24시 4구간,114.7
