,시간,02-25 (화)
0,최대,156.78
1,최소,82.77
2,가중평균,119.16
3,01시 1구간,100.23
4,01시 2구간,100.23
5,01시 3구간,100.23
6,01시 4구간,100.23
7,02시 1구간,85.02
8,02시 2구간,85.02
9,02시 3구간,85.02
10,02시 4구간,85.02
11,03시 1구간,83.6
12,03시 2구간,83.6
13,03시 3구간,83.6
14,03시 4구간,83.6
15,04시 1구간,82.77
16,04시 2구간,82.77
17,04시 3구간,82.77
18,04시 4구간,82.77
19,05시 1구간,83.6
20,05시 2구간,83.6
21,05시 3구간,83.6
22,05시 4구간,83.6
23,06시 1구간,85.02
24,06시 2구간,85.02
25,06시 3구간,85.02
26,06시 4구간,85.02
27,07시 1구간,107.9
28,07시 2구간,107.9
29,07시 3구간,107.9
30,07시 4구간,147.91
31,08시 1구간,153.04
32,08시 2구간,149.05
33,08시 3구간,148.55
34,08시 4구간,107.9
35,09시 1구간,156.05
36,09시 2구간,155.99
37,09시 3구간,155.83
38,09시 4구간,156.78
39,10시 1구간,130.79
40,10시 2구간,130.79
41,10시 3구간,130.79
42,10시 4구간,130.79
43,11시 1구간,119.76
44,11시 2구간,111.03
45,11시 3구간,150.78
46,11시 4구간,150.78
47,12시 1구간,142.0
48,12시 2구간,142.0
49,12시 3구간,142.0
50,12시 4구간,142.0
51,13시 1구간,128.4
52,13시 2구간,128.4
53,13시 3구간,128.4
54,13시 4구간,128.4
55,14시 1구간,128.32
56,14시 2구간,128.32
57,14시 3구간,128.32
58,14시 4구간,128.32
59,15시 1구간,128.32
60,15시 2구간,128.32
61,15시 3구간,128.32
62,15시 4구간,128.32
63,16시 1구간,128.32
64,16시 2구간,128.32
65,16시 3구간,128.32
66,16시 4구간,128.32
67,17시 1구간,144.44
68,17시 2구간,144.44
69,17시 3구간,144.44
70,17시 4구간,144.44
71,18시 1구간,130.78
72,18시 2구간,130.78
73,18시 3구간,130.78
74,18시 4구간,130.78
75,19시 1구간,115.39
76,19시 2구간,146.3
77,19시 3구간,147.3
78,19시 4구간,147.3
79,20시 1구간,147.3
80,20시 2구간,147.3
81,20시 3구간,147.28
82,20시 4구간,147.28
83,21시 1구간,113.0
84,21시 2구간,113.0
85,21시 3구간,113.0
86,21시 4구간,113.0
87,22시 1구간,109.59
88,22시 2구간,109.59
89,22시 3구간,109.59
90,22시 4구간,109.59
91,23시 1구간,109.59
92,23시 2구간,109.59
93,23시 3구간,109.59
94,23시 4구간,109.59
95,24시 1구간,109.59
96,24시 2구간,109.59
97,24시 3구간,109.59
98,24시 4구간,109.59
