,시간,12-09 (월)
0,최대,171.9
1,최소,80.35
2,가중평균,131.54
3,01시 1구간,86.15
4,01시 2구간,86.15
5,01시 3구간,86.15
6,01시 4구간,86.15
7,02시 1구간,80.35
8,02시 2구간,80.35
9,02시 3구간,80.35
10,02시 4구간,80.35
11,03시 1구간,80.35
12,03시 2구간,80.35
13,03시 3구간,80.35
14,03시 4구간,80.35
15,04시 1구간,80.35
16,04시 2구간,80.35
17,04시 3구간,80.35
18,04시 4구간,80.35
19,05시 1구간,80.35
20,05시 2구간,80.35
21,05시 3구간,80.35
22,05시 4구간,80.35
23,06시 1구간,80.35
24,06시 2구간,80.35
25,06시 3구간,80.35
26,06시 4구간,80.35
27,07시 1구간,85.17
28,07시 2구간,85.17
29,07시 3구간,85.17
30,07시 4구간,85.17
31,08시 1구간,121.98
32,08시 2구간,121.98
33,08시 3구간,121.98
34,08시 4구간,121.98
35,09시 1구간,164.3
36,09시 2구간,164.3
37,09시 3구간,164.3
38,09시 4구간,164.3
39,10시 1구간,171.9
40,10시 2구간,171.9
41,10시 3구간,171.9
42,10시 4구간,171.9
43,11시 1구간,164.13
44,11시 2구간,164.13
45,11시 3구간,164.13
46,11시 4구간,164.13
47,12시 1구간,162.67
48,12시 2구간,162.67
49,12시 3구간,162.67
50,12시 4구간,162.67
51,13시 1구간,161.8
52,13시 2구간,161.8
53,13시 3구간,161.8
54,13시 4구간,161.8
55,14시 1구간,161.8
56,14시 2구간,161.97
57,14시 3구간,161.97
58,14시 4구간,161.97
59,15시 1구간,161.97
60,15시 2구간,161.97
61,15시 3구간,161.97
62,15시 4구간,161.97
63,16시 1구간,161.93
64,16시 2구간,161.93
65,16시 3구간,161.93
66,16시 4구간,161.93
67,17시 1구간,136.67
68,17시 2구간,136.67
69,17시 3구간,161.8
70,17시 4구간,161.8
71,18시 1구간,161.8
72,18시 2구간,161.8
73,18시 3구간,161.8
74,18시 4구간,161.8
75,19시 1구간,161.99
76,19시 2구간,161.99
77,19시 3구간,161.99
78,19시 4구간,161.99
79,20시 1구간,124.07
80,20시 2구간,124.07
81,20시 3구간,124.07
82,20시 4구간,124.07
83,21시 1구간,122.5
84,21시 2구간,122.5
85,21시 3구간,122.5
86,21시 4구간,122.5
87,22시 1구간,161.97
88,22시 2구간,161.97
89,22시 3구간,161.97
90,22시 4구간,161.97
91,23시 1구간,106.25
92,23시 2구간,106.25
93,23시 3구간,106.25
94,23시 4구간,106.25
95,24시 1구간,101.66
96,24시 2구간,101.66
97,24시 3구간,101.66
98,24시 4구간,101.66
