,시간,12-17 (화)
0,최대,160.48
1,최소,82.02
2,가중평균,131.43
3,01시 1구간,93.08
4,01시 2구간,93.08
5,01시 3구간,93.08
6,01시 4구간,93.08
7,02시 1구간,84.67
8,02시 2구간,84.67
9,02시 3구간,84.67
10,02시 4구간,84.67
11,03시 1구간,82.02
12,03시 2구간,82.02
13,03시 3구간,82.02
14,03시 4구간,82.02
15,04시 1구간,82.02
16,04시 2구간,82.02
17,04시 3구간,82.02
18,04시 4구간,82.02
19,05시 1구간,82.02
20,05시 2구간,82.02
21,05시 3구간,82.02
22,05시 4구간,82.02
23,06시 1구간,91.56
24,06시 2구간,91.56
25,06시 3구간,91.56
26,06시 4구간,91.56
27,07시 1구간,96.54
28,07시 2구간,96.54
29,07시 3구간,96.54
30,07시 4구간,96.54
31,08시 1구간,141.2
32,08시 2구간,141.2
33,08시 3구간,141.2
34,08시 4구간,141.2
35,09시 1구간,158.94
36,09시 2구간,158.94
37,09시 3구간,158.94
38,09시 4구간,158.94
39,10시 1구간,158.86
40,10시 2구간,158.86
41,10시 3구간,158.86
42,10시 4구간,158.86
43,11시 1구간,158.86
44,11시 2구간,158.86
45,11시 3구간,158.6
46,11시 4구간,158.01
47,12시 1구간,157.94
48,12시 2구간,158.86
49,12시 3구간,158.86
50,12시 4구간,158.86
51,13시 1구간,153.78
52,13시 2구간,153.78
53,13시 3구간,158.86
54,13시 4구간,158.86
55,14시 1구간,158.86
56,14시 2구간,158.86
57,14시 3구간,158.86
58,14시 4구간,158.86
59,15시 1구간,158.86
60,15시 2구간,158.86
61,15시 3구간,158.86
62,15시 4구간,158.86
63,16시 1구간,158.86
64,16시 2구간,158.86
65,16시 3구간,158.86
66,16시 4구간,158.86
67,17시 1구간,142.3
68,17시 2구간,142.3
69,17시 3구간,142.3
70,17시 4구간,142.3
71,18시 1구간,140.86
72,18시 2구간,140.86
73,18시 3구간,140.86
74,18시 4구간,140.86
75,19시 1구간,142.22
76,19시 2구간,160.48
77,19시 3구간,160.48
78,19시 4구간,160.48
79,20시 1구간,159.71
80,20시 2구간,159.71
81,20시 3구간,159.71
82,20시 4구간,159.71
83,21시 1구간,159.88
84,21시 2구간,159.88
85,21시 3구간,159.88
86,21시 4구간,159.88
87,22시 1구간,119.76
88,22시 2구간,119.76
89,22시 3구간,119.76
90,22시 4구간,119.76
91,23시 1구간,101.93
92,23시 2구간,101.93
93,23시 3구간,101.93
94,23시 4구간,101.93
95,24시 1구간,100.84
96,24시 2구간,100.84
97,24시 3구간,100.84
98,24시 4구간,100.84
