,시간,01-09 (목)
0,최대,161.72
1,최소,101.97
2,가중평균,135.35
3,01시 1구간,108.07
4,01시 2구간,108.07
5,01시 3구간,108.07
6,01시 4구간,108.07
7,02시 1구간,109.23
8,02시 2구간,109.23
9,02시 3구간,109.23
10,02시 4구간,109.23
11,03시 1구간,101.97
12,03시 2구간,101.97
13,03시 3구간,101.97
14,03시 4구간,101.97
15,04시 1구간,101.97
16,04시 2구간,101.97
17,04시 3구간,101.97
18,04시 4구간,101.97
19,05시 1구간,101.97
20,05시 2구간,101.97
21,05시 3구간,101.97
22,05시 4구간,101.97
23,06시 1구간,106.76
24,06시 2구간,106.76
25,06시 3구간,106.76
26,06시 4구간,106.76
27,07시 1구간,107.55
28,07시 2구간,107.55
29,07시 3구간,107.55
30,07시 4구간,107.55
31,08시 1구간,118.54
32,08시 2구간,118.54
33,08시 3구간,118.54
34,08시 4구간,118.54
35,09시 1구간,144.0
36,09시 2구간,144.0
37,09시 3구간,144.0
38,09시 4구간,144.0
39,10시 1구간,161.72
40,10시 2구간,161.72
41,10시 3구간,161.72
42,10시 4구간,161.72
43,11시 1구간,149.81
44,11시 2구간,149.81
45,11시 3구간,149.81
46,11시 4구간,149.81
47,12시 1구간,149.73
48,12시 2구간,149.73
49,12시 3구간,149.73
50,12시 4구간,149.73
51,13시 1구간,146.55
52,13시 2구간,146.55
53,13시 3구간,146.55
54,13시 4구간,146.55
55,14시 1구간,147.87
56,14시 2구간,147.87
57,14시 3구간,147.87
58,14시 4구간,147.87
59,15시 1구간,147.87
60,15시 2구간,147.87
61,15시 3구간,147.87
62,15시 4구간,147.87
63,16시 1구간,149.73
64,16시 2구간,149.73
65,16시 3구간,148.66
66,16시 4구간,148.66
67,17시 1구간,144.05
68,17시 2구간,144.05
69,17시 3구간,144.05
70,17시 4구간,144.05
71,18시 1구간,146.14
72,18시 2구간,149.73
73,18시 3구간,149.73
74,18시 4구간,149.73
75,19시 1구간,147.47
76,19시 2구간,147.47
77,19시 3구간,147.47
78,19시 4구간,147.47
79,20시 1구간,147.47
80,20시 2구간,147.47
81,20시 3구간,147.47
82,20시 4구간,147.47
83,21시 1구간,147.47
84,21시 2구간,147.47
85,21시 3구간,147.47
86,21시 4구간,147.47
87,22시 1구간,148.27
88,22시 2구간,147.47
89,22시 3구간,147.47
90,22시 4구간,147.47
91,23시 1구간,134.24
92,23시 2구간,134.24
93,23시 3구간,134.24
94,23시 4구간,134.24
95,24시 1구간,134.24
96,24시 2구간,134.24
97,24시 3구간,134.24
98,24시 4구간,134.24
