,시간,01-22 (수)
0,최대,156.44
1,최소,101.71
2,가중평균,134.25
3,01시 1구간,110.11
4,01시 2구간,110.11
5,01시 3구간,110.11
6,01시 4구간,110.11
7,02시 1구간,102.03
8,02시 2구간,102.03
9,02시 3구간,102.03
10,02시 4구간,102.03
11,03시 1구간,101.71
12,03시 2구간,101.71
13,03시 3구간,101.71
14,03시 4구간,101.71
15,04시 1구간,101.84
16,04시 2구간,101.84
17,04시 3구간,101.84
18,04시 4구간,101.84
19,05시 1구간,102.03
20,05시 2구간,102.03
21,05시 3구간,102.03
22,05시 4구간,102.03
23,06시 1구간,106.56
24,06시 2구간,106.56
25,06시 3구간,106.56
26,06시 4구간,106.56
27,07시 1구간,107.39
28,07시 2구간,107.39
29,07시 3구간,107.39
30,07시 4구간,107.39
31,08시 1구간,151.57
32,08시 2구간,151.57
33,08시 3구간,151.68
34,08시 4구간,151.57
35,09시 1구간,153.91
36,09시 2구간,153.91
37,09시 3구간,153.91
38,09시 4구간,153.91
39,10시 1구간,156.44
40,10시 2구간,156.44
41,10시 3구간,156.44
42,10시 4구간,156.44
43,11시 1구간,155.89
44,11시 2구간,155.89
45,11시 3구간,155.89
46,11시 4구간,155.89
47,12시 1구간,153.74
48,12시 2구간,148.76
49,12시 3구간,148.76
50,12시 4구간,148.76
51,13시 1구간,138.69
52,13시 2구간,138.69
53,13시 3구간,138.69
54,13시 4구간,138.69
55,14시 1구간,138.77
56,14시 2구간,138.77
57,14시 3구간,138.77
58,14시 4구간,138.77
59,15시 1구간,138.77
60,15시 2구간,138.77
61,15시 3구간,138.77
62,15시 4구간,138.77
63,16시 1구간,145.89
64,16시 2구간,145.89
65,16시 3구간,145.89
66,16시 4구간,145.89
67,17시 1구간,152.26
68,17시 2구간,152.26
69,17시 3구간,152.26
70,17시 4구간,152.26
71,18시 1구간,152.89
72,18시 2구간,153.2
73,18시 3구간,153.2
74,18시 4구간,153.2
75,19시 1구간,153.41
76,19시 2구간,153.41
77,19시 3구간,153.41
78,19시 4구간,153.41
79,20시 1구간,153.41
80,20시 2구간,153.41
81,20시 3구간,153.41
82,20시 4구간,153.41
83,21시 1구간,153.57
84,21시 2구간,153.57
85,21시 3구간,153.57
86,21시 4구간,153.57
87,22시 1구간,150.28
88,22시 2구간,150.28
89,22시 3구간,150.28
90,22시 4구간,150.28
91,23시 1구간,115.48
92,23시 2구간,115.48
93,23시 3구간,115.48
94,23시 4구간,115.48
95,24시 1구간,114.68
96,24시 2구간,114.68
97,24시 3구간,114.68
98,24시 4구간,114.68
