,시간,02-04 (화)
0,최대,236.55
1,최소,84.44
2,가중평균,132.05
3,01시 1구간,105.07
4,01시 2구간,105.07
5,01시 3구간,105.07
6,01시 4구간,105.07
7,02시 1구간,102.15
8,02시 2구간,102.15
9,02시 3구간,102.15
10,02시 4구간,102.15
11,03시 1구간,84.44
12,03시 2구간,84.44
13,03시 3구간,84.44
14,03시 4구간,84.44
15,04시 1구간,84.44
16,04시 2구간,84.44
17,04시 3구간,84.44
18,04시 4구간,84.44
19,05시 1구간,84.44
20,05시 2구간,84.44
21,05시 3구간,84.44
22,05시 4구간,84.44
23,06시 1구간,102.15
24,06시 2구간,102.15
25,06시 3구간,102.15
26,06시 4구간,102.15
27,07시 1구간,99.28
28,07시 2구간,99.28
29,07시 3구간,99.28
30,07시 4구간,99.28
31,08시 1구간,129.79
32,08시 2구간,129.79
33,08시 3구간,129.79
34,08시 4구간,142.8
35,09시 1구간,142.8
36,09시 2구간,142.8
37,09시 3구간,142.8
38,09시 4구간,142.8
39,10시 1구간,236.55
40,10시 2구간,236.55
41,10시 3구간,144.87
42,10시 4구간,145.4
43,11시 1구간,145.33
44,11시 2구간,145.15
45,11시 3구간,144.69
46,11시 4구간,145.25
47,12시 1구간,142.91
48,12시 2구간,142.91
49,12시 3구간,142.98
50,12시 4구간,143.6
51,13시 1구간,143.6
52,13시 2구간,143.6
53,13시 3구간,143.62
54,13시 4구간,142.44
55,14시 1구간,143.38
56,14시 2구간,143.44
57,14시 3구간,142.9
58,14시 4구간,143.66
59,15시 1구간,143.69
60,15시 2구간,143.22
61,15시 3구간,143.63
62,15시 4구간,142.14
63,16시 1구간,142.28
64,16시 2구간,141.67
65,16시 3구간,143.52
66,16시 4구간,143.76
67,17시 1구간,145.12
68,17시 2구간,141.82
69,17시 3구간,141.49
70,17시 4구간,144.94
71,18시 1구간,146.94
72,18시 2구간,146.77
73,18시 3구간,146.61
74,18시 4구간,146.48
75,19시 1구간,146.36
76,19시 2구간,146.25
77,19시 3구간,146.15
78,19시 4구간,146.06
79,20시 1구간,145.98
80,20시 2구간,145.91
81,20시 3구간,145.84
82,20시 4구간,145.78
83,21시 1구간,145.73
84,21시 2구간,145.67
85,21시 3구간,145.62
86,21시 4구간,134.8
87,22시 1구간,145.32
88,22시 2구간,145.42
89,22시 3구간,145.5
90,22시 4구간,146.47
91,23시 1구간,146.47
92,23시 2구간,146.47
93,23시 3구간,146.47
94,23시 4구간,146.47
95,24시 1구간,113.79
96,24시 2구간,113.79
97,24시 3구간,113.79
98,24시 4구간,113.79
