,시간,03-29 (토)
0,최대,145.6
1,최소,-69.76
2,가중평균,117.43
3,01시 1구간,134.22
4,01시 2구간,134.22
5,01시 3구간,134.22
6,01시 4구간,134.22
7,02시 1구간,132.24
8,02시 2구간,132.24
9,02시 3구간,132.24
10,02시 4구간,132.24
11,03시 1구간,129.77
12,03시 2구간,129.77
13,03시 3구간,129.77
14,03시 4구간,129.77
15,04시 1구간,123.15
16,04시 2구간,123.15
17,04시 3구간,123.15
18,04시 4구간,123.15
19,05시 1구간,129.87
20,05시 2구간,129.87
21,05시 3구간,129.87
22,05시 4구간,129.87
23,06시 1구간,134.48
24,06시 2구간,134.48
25,06시 3구간,134.48
26,06시 4구간,144.84
27,07시 1구간,144.84
28,07시 2구간,144.84
29,07시 3구간,144.84
30,07시 4구간,144.84
31,08시 1구간,144.84
32,08시 2구간,144.84
33,08시 3구간,144.84
34,08시 4구간,144.84
35,09시 1구간,144.8
36,09시 2구간,144.8
37,09시 3구간,144.8
38,09시 4구간,144.8
39,10시 1구간,103.28
40,10시 2구간,103.28
41,10시 3구간,103.28
42,10시 4구간,103.28
43,11시 1구간,0.0
44,11시 2구간,-48.0
45,11시 3구간,-48.0
46,11시 4구간,-50.01
47,12시 1구간,-69.76
48,12시 2구간,-69.76
49,12시 3구간,-69.76
50,12시 4구간,-69.76
51,13시 1구간,-69.76
52,13시 2구간,108.65
53,13시 3구간,128.99
54,13시 4구간,128.99
55,14시 1구간,130.32
56,14시 2구간,130.32
57,14시 3구간,130.32
58,14시 4구간,130.32
59,15시 1구간,111.26
60,15시 2구간,111.26
61,15시 3구간,111.26
62,15시 4구간,111.26
63,16시 1구간,99.91
64,16시 2구간,99.91
65,16시 3구간,99.91
66,16시 4구간,99.91
67,17시 1구간,99.91
68,17시 2구간,99.91
69,17시 3구간,99.91
70,17시 4구간,99.91
71,18시 1구간,111.64
72,18시 2구간,111.64
73,18시 3구간,111.64
74,18시 4구간,111.64
75,19시 1구간,124.34
76,19시 2구간,124.34
77,19시 3구간,145.6
78,19시 4구간,145.6
79,20시 1구간,145.6
80,20시 2구간,145.6
81,20시 3구간,145.6
82,20시 4구간,145.6
83,21시 1구간,145.6
84,21시 2구간,145.6
85,21시 3구간,145.6
86,21시 4구간,145.6
87,22시 1구간,145.6
88,22시 2구간,145.6
89,22시 3구간,145.6
90,22시 4구간,145.6
91,23시 1구간,145.6
92,23시 2구간,145.6
93,23시 3구간,145.6
94,23시 4구간,145.6
95,24시 1구간,145.6
96,24시 2구간,145.6
97,24시 3구간,145.6
98,24시 4구간,145.6
