,시간,03-30 (일)
0,최대,145.94
1,최소,-69.76
2,가중평균,96.82
3,01시 1구간,144.99
4,01시 2구간,144.99
5,01시 3구간,144.99
6,01시 4구간,144.99
7,02시 1구간,116.49
8,02시 2구간,116.49
9,02시 3구간,116.49
10,02시 4구간,116.49
11,03시 1구간,100.08
12,03시 2구간,100.08
13,03시 3구간,100.08
14,03시 4구간,100.08
15,04시 1구간,100.08
16,04시 2구간,100.08
17,04시 3구간,100.08
18,04시 4구간,100.08
19,05시 1구간,145.07
20,05시 2구간,145.07
21,05시 3구간,145.07
22,05시 4구간,145.07
23,06시 1구간,145.07
24,06시 2구간,145.07
25,06시 3구간,145.07
26,06시 4구간,145.07
27,07시 1구간,145.22
28,07시 2구간,145.22
29,07시 3구간,145.22
30,07시 4구간,145.22
31,08시 1구간,145.07
32,08시 2구간,145.07
33,08시 3구간,145.07
34,08시 4구간,145.07
35,09시 1구간,97.06
36,09시 2구간,97.06
37,09시 3구간,97.06
38,09시 4구간,97.06
39,10시 1구간,100.08
40,10시 2구간,100.08
41,10시 3구간,-69.76
42,10시 4구간,-69.76
43,11시 1구간,-69.76
44,11시 2구간,-69.76
45,11시 3구간,-69.76
46,11시 4구간,-69.76
47,12시 1구간,-69.76
48,12시 2구간,-69.76
49,12시 3구간,-69.76
50,12시 4구간,-69.76
51,13시 1구간,-69.76
52,13시 2구간,-69.76
53,13시 3구간,-69.76
54,13시 4구간,-69.76
55,14시 1구간,-69.76
56,14시 2구간,-69.76
57,14시 3구간,-69.76
58,14시 4구간,-69.76
59,15시 1구간,-69.76
60,15시 2구간,-69.76
61,15시 3구간,-69.76
62,15시 4구간,-69.76
63,16시 1구간,98.17
64,16시 2구간,98.17
65,16시 3구간,98.17
66,16시 4구간,98.17
67,17시 1구간,96.54
68,17시 2구간,96.54
69,17시 3구간,96.54
70,17시 4구간,96.54
71,18시 1구간,122.8
72,18시 2구간,122.8
73,18시 3구간,122.8
74,18시 4구간,122.8
75,19시 1구간,133.33
76,19시 2구간,133.33
77,19시 3구간,133.33
78,19시 4구간,133.33
79,20시 1구간,133.33
80,20시 2구간,144.99
81,20시 3구간,144.99
82,20시 4구간,144.99
83,21시 1구간,144.99
84,21시 2구간,144.99
85,21시 3구간,144.99
86,21시 4구간,144.99
87,22시 1구간,145.83
88,22시 2구간,145.83
89,22시 3구간,145.83
90,22시 4구간,145.83
91,23시 1구간,145.94
92,23시 2구간,145.94
93,23시 3구간,145.94
94,23시 4구간,145.94
95,24시 1구간,145.94
96,24시 2구간,145.94
97,24시 3구간,145.94
98,24시 4구간,145.94
